Source,Compare,Value
2283,16918,0.86469185
2291,8957,0.8680638
2291,19261,0.806319
2291,19311,0.81488955
2295,14551,0.8059810000000001
2314,15492,0.8014153
2322,20169,0.80270654
2322,21474,0.80258507
2323,4768,0.8201099000000001
2323,8270,0.82364964
2323,13448,0.81334263
2328,17048,0.80841714
2328,17653,0.8016325
2330,8957,0.87977046
2334,15277,0.8095495
2334,17291,0.82356673
2334,17351,0.82195425
2334,18344,0.8051195
2336,6083,0.80028355
2336,14704,0.8225959999999999
2337,1347,0.8129267
2337,11018,0.8860402000000001
2337,12085,0.81203496
2337,20842,0.8239605999999999
2349,1231,0.8098301
2352,17250,0.82709205
2375,9780,0.8018926
2375,9807,0.8137953
2375,12559,0.8133113000000001
2375,14184,0.8088261999999999
2379,3591,0.81828624
2379,6530,0.8180812
2379,12884,0.8069748000000001
2379,13668,0.82352895
2382,14946,0.8059947
2382,16487,0.8060752
2402,6534,0.81257105
2407,18126,0.80023146
2408,12884,0.8070406999999999
2409,12884,0.83207685
2416,4740,0.8056091
2417,16755,0.8022756
2428,1,0.82071286
2428,15751,0.8072798000000001
2428,16755,0.83267426
2428,17625,0.80717266
2437,8176,0.8240504999999999
2441,16794,0.80787706
2442,15856,0.845203
2446,17048,0.81282645
2454,17934,0.82035434
2461,126,0.80266565
2461,2255,0.84144235
2461,10246,0.8084222
2461,10577,0.8008801
2461,12237,0.8334563
2461,13996,0.83601856
2461,14263,0.8016024
2461,14717,0.8000562
2461,15192,0.8376279000000001
2461,15230,0.8323505999999999
2469,14768,0.80867285
2474,12920,0.81093144
2475,387,0.80214804
2477,18328,0.80456525
2481,2275,0.8028731
2481,10175,0.831974
2481,10658,0.80774224
2481,16678,0.8023123000000001
2487,354,0.8142455
2487,3935,0.80985993
2488,8957,0.80476904
2490,19652,0.82914555
2493,16,0.80504185
2493,34,0.8372374
2493,639,0.8076915
2493,2153,0.840512
2493,3604,0.8221801
2493,5436,0.8175333
2493,8200,0.80310804
2493,8254,0.80541056
2493,10446,0.808427
2493,11003,0.82288915
2493,13113,0.8015339
2493,13117,0.88179654
2493,14766,0.8135097
2493,19215,0.8097446
2493,19255,0.82952625
2493,19338,0.85623413
2493,19366,0.85806865
2493,19390,0.81475514
2493,19400,0.81465745
2493,19411,0.82583475
2493,19413,0.8176523
2493,19436,0.8206032
2493,19461,0.88404316
2493,19470,0.82235426
2493,19656,0.81821877
2493,19768,0.8331003
2493,19786,0.8234402
2493,19995,0.8442457
2493,20024,0.8633536
2493,20844,0.81047255
2493,20931,0.8186573
2496,12974,0.80708194
2496,13288,0.8355004999999999
2496,15343,0.8073303000000001
2496,19416,0.8221274
2508,26,0.8542818000000001
2508,1029,0.81046486
2508,4092,0.81046486
2508,8957,0.80359757
2508,19194,0.80756193
2508,19403,0.8297794
2526,6196,0.8027631
2527,4395,0.806175
2544,8494,0.8133173
2548,14083,0.83119476
2548,14370,0.8353386
2548,20515,0.8316959
2551,6534,0.84330434
2552,6113,0.8024926
2552,7559,0.80355304
2552,13331,0.82744586
2552,13878,0.81063163
2552,14370,0.8038889
2552,16765,0.8147196
2552,17004,0.8526325000000001
2553,8506,0.8154685
2553,15603,0.8235174000000001
2559,16487,0.80994165
2578,17106,0.8134456999999999
2579,8506,0.8412449000000001
2579,13331,0.80573654
2579,13951,0.8126185
2596,4259,0.84000045
2596,16487,0.8285059000000001
2599,17004,0.8170483000000001
2611,3907,0.82632905
2611,14311,0.8053314
2622,9528,0.8045041999999999
2634,4130,0.81088614
2666,19338,0.8022651
2666,20887,0.80134326
2667,7210,0.8066069
2667,8616,0.8066069
2668,4469,0.80723804
2671,19311,0.83343166
2685,18544,0.8352494
2698,2299,0.89680415
2699,13448,0.8122951999999999
2699,16487,0.83119196
2706,17291,0.8072365
2706,17351,0.8100809
2707,3377,0.8274604999999999
2707,6293,0.8217300999999999
2710,4999,0.8066481
2711,9096,0.8002581999999999
2712,2270,0.8087976
2712,3806,0.858037
2712,5825,0.8084919
2712,13306,0.8084919
2712,14400,0.8084919
2712,15394,0.8084919
2712,18691,0.8017029999999999
2712,20824,0.83712244
2712,21396,0.8084919
2717,387,0.8270903000000001
2725,16487,0.8013752
2753,11471,0.82606065
2753,16399,0.80001074
2753,17792,0.80075175
2755,650,0.81383884
2755,1174,0.8110727
2755,3350,0.8205698
2755,3783,0.8317588
2755,3809,0.81191605
2755,5397,0.81902415
2755,5539,0.8183406
2755,5743,0.81159073
2755,5817,0.8024104999999999
2755,7028,0.8159229
2755,8804,0.81468964
2755,9034,0.811533
2755,9461,0.8178366
2755,9884,0.8891339
2755,12984,0.85120124
2755,13041,0.8029104
2755,13688,0.8275450999999999
2755,13722,0.804601
2755,13766,0.8508321
2755,15673,0.82073265
2755,18738,0.8036015999999999
2755,18813,0.8054996
2755,19503,0.8044501000000001
2755,20169,0.8484995000000001
2755,20516,0.80404794
2755,21077,0.81963557
2755,21126,0.80027795
2755,21295,0.80155855
2755,21341,0.8245226999999999
2755,21474,0.86967015
2755,21593,0.82833165
2756,1468,0.8455396000000001
2756,3010,0.8262457000000001
2756,5983,0.8002634
2756,6250,0.8037984
2756,6382,0.8091803000000001
2756,11359,0.8113946
2756,11900,0.80360407
2756,12745,0.8087662
2756,14909,0.8128607
2756,17689,0.81550866
2756,18940,0.8128076999999999
2756,18973,0.8178368
2756,20632,0.82003623
2757,18371,0.80950826
2760,9096,0.8342809000000001
2760,13360,0.8094717
2762,5085,0.82203233
2763,1296,0.8105857
2766,13886,0.8433391
2766,15090,0.8128593000000001
2771,14819,0.85893154
2775,13036,0.82800287
2775,17004,0.8360957
2777,1995,0.80703205
2778,3381,0.8145119000000001
2778,13124,0.82181066
2786,15428,0.8048603
2786,17004,0.840209
2788,15302,0.8013149
2789,10127,0.82185805
2789,13280,0.82185805
2789,15814,0.84029305
2789,17743,0.8187291999999999
2791,2299,0.8995508
2795,17184,0.809295
2812,5437,0.80473727
2815,6530,0.81274474
2815,12884,0.83998746
2824,1230,0.80182767
2834,13503,0.80065286
2834,15674,0.80688137
2841,13362,0.80033547
2849,20293,0.8046803000000001
2854,7973,0.86623406
2858,7710,0.82395476
2865,3129,0.8083691999999999
2871,1977,0.81142324
2879,307,0.83937055
2889,12884,0.8008616999999999
2897,1008,0.82182115
2897,13524,0.81882405
2897,17669,0.8022676999999999
2907,14819,1.0
2907,17628,0.82047963
2913,354,0.8142455
2913,3935,0.80985993
2915,8506,0.8035007
2916,1758,0.81056553
2918,10348,0.83656603
2918,16803,0.81200063
2919,10351,0.8140099000000001
2928,3381,0.8152357
2928,17886,0.8004946
2930,308,0.88861924
2930,8003,0.8029785
2930,11140,0.8550882
2930,11999,0.9471369000000001
2930,17179,0.8343318999999999
2930,18006,0.8416861999999999
2930,20143,0.9999998999999999
2930,21134,0.84517306
2933,8957,0.82740235
2933,9957,0.83968234
2933,19150,0.84085375
2934,932,0.89448273
2934,3307,0.8348448
2934,4049,0.8484232
2934,5451,0.83513683
2934,6102,0.8323649
2934,6889,0.8397519
2934,8957,0.83959144
2934,19194,0.8012813
2934,19311,0.80398923
2934,19322,0.8304078000000001
2934,19380,0.8180458
2934,20843,0.82535034
2934,20914,0.83190924
2936,2985,0.8380733
2936,8957,0.8430334
2936,20843,0.8034657
2936,20914,0.82191014
2938,5420,0.8098975
2941,18515,0.80227536
2942,5571,0.87210286
2942,13101,0.81297946
2942,14887,0.85035723
2942,15347,0.8063286
2942,16697,0.8427277
2942,17015,0.85033154
2942,17854,1.0
2953,14328,0.84367955
2954,8957,0.80741465
